,Short Name,Name,Activity Type,Organization URL,Contribution Sum
75,VUB,VRIJE UNIVERSITEIT BRUSSEL,HES,http://www.vub.ac.be,341250.0
76,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,341606.13
77,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,347053.88
78,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,351446.38
79,INERGY,PLASTIC OMNIUM ADVANCED INNOVATIONAND RESEARCH,PRC,www.inergyautomotive.com,353100.0
80,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,365255.19
81,ICOS,ICOS VISION SYSTEMS NV,PRC,www.kla-tencor.com,368750.0
82,EPIGAN,SOITEC BELGIUM NV,PRC,www.epigan.com,375937.5
83,ASML-B,ASML BELGIUM BVBA,PRC,,411225.0
84,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,420770.88
85,SOFTKINETIC,SONY DEPTHSENSING SOLUTIONS,PRC,,427265.31
86,VUB,VRIJE UNIVERSITEIT BRUSSEL,HES,http://www.vub.ac.be,433846.88
87,LAM RESEARCH BELGIUM BVBA,LAM RESEARCH BELGIUM,PRC,,445140.15
88,ASMB,ASM BELGIUM NV,PRC,,446245.15
89,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,464931.0
90,TENNECO,TENNECO AUTOMOTIVE EUROPE BVBA,PRC,www.tenneco.com,465150.0
91,ATLAS COPCO,ATLAS COPCO AIRPOWER NV,PRC,,468147.0
92,ON BELGIUM,ON SEMICONDUCTOR BELGIUM BVBA,PRC,www.onsemi.com,470150.51
93,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,479379.25
94,EPIGAN,SOITEC BELGIUM NV,PRC,www.epigan.com,503902.0
95,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,504867.56
96,VUB,VRIJE UNIVERSITEIT BRUSSEL,HES,http://www.vub.ac.be,504875.0
97,AMBEL,APPLIED MATERIALS BELGIUM,PRC,,517968.75
98,ULIEGE,UNIVERSITE DE LIEGE,HES,http://www.ulg.ac.be,518700.0
99,ICOS,ICOS VISION SYSTEMS NV,PRC,www.kla-tencor.com,524351.0
100,TENNECO,TENNECO AUTOMOTIVE EUROPE BVBA,PRC,www.tenneco.com,542019.0
101,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,543053.44
102,XENICS,XENICS NV,PRC,www.xenics.com,570260.25
103,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,590045.31
104,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,631319.94
105,AMS Sensors Belgium,AMS SENSORS BELGIUM,PRC,www.cmosis.com,667341.0
106,IMEC,INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM,REC,http://www.imec.be,698916.0
